                                                                                                                                                                                                                                                                     msg                                                                                                                                                                                                                                                                      |          created_at           
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------
 ❌ [LOW 55/100] Course Delivery Options — missing: english, duration | course-delivery-options                                                                                                                                                                                                                                                                                                                                                                                                                                              | 2026-05-01 07:01:06.7794+00
 [WARN] MBA - Master of Business Administration — English section detected in HTML but all scores blank                                                                                                                                                                                                                                                                                                                                                                                                                                       | 2026-05-01 07:01:07.271629+00
 ⚠️ [WARN 75/100] MBA - Master of Business Administration — missing: english | mba-master-of-business-administration                                                                                                                                                                                                                                                                                                                                                                                                                           | 2026-05-01 07:01:07.275416+00
 ❌ [LOW 55/100] Non-award Single Subject Enrolment — missing: english, duration | non-award-single-subject-enrolment                                                                                                                                                                                                                                                                                                                                                                                                                        | 2026-05-01 07:01:12.139052+00
 [WARN] The Ultimate Guide to Doing An MBA in Au — English section detected in HTML but all scores blank                                                                                                                                                                                                                                                                                                                                                                                                                                      | 2026-05-01 07:01:12.270071+00
 ⚠️ [WARN 75/100] The Ultimate Guide to Doing An MBA in Australia — missing: english | ultimate-guide-doing-mba-australia                                                                                                                                                                                                                                                                                                                                                                                                                      | 2026-05-01 07:01:12.27511+00
 [WARN] Diploma of Business — English section detected in HTML but all scores blank                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2026-05-01 07:01:27.297582+00
 ⚠️ [WARN 75/100] Diploma of Business — missing: english | diploma-of-business                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2026-05-01 07:01:27.3058+00
 [WARN] Bachelor of Business (Hospitality and To — English section detected in HTML but all scores blank                                                                                                                                                                                                                                                                                                                                                                                                                                      | 2026-05-01 07:01:36.041947+00
 ⚠️ [WARN 75/100] Bachelor of Business (Hospitality and Tourism Mana — missing: english | bachelor-of-business-hospitality-and-tou                                                                                                                                                                                                                                                                                                                                                                                                             | 2026-05-01 07:01:36.049161+00
 [WARN] Bachelor of Business (Management) — English section detected in HTML but all scores blank                                                                                                                                                                                                                                                                                                                                                                                                                                             | 2026-05-01 07:01:43.629614+00
 ⚠️ [WARN 75/100] Bachelor of Business (Management) — missing: english | bachelor-of-business-management                                                                                                                                                                                                                                                                                                                                                                                                                                       | 2026-05-01 07:01:43.636872+00
 [WARN] Graduate Certificate in Accounting — English section detected in HTML but all scores blank                                                                                                                                                                                                                                                                                                                                                                                                                                            | 2026-05-01 07:02:00.942147+00
 ⚠️ [WARN 75/100] Graduate Certificate in Accounting — missing: english | graduate-certificate-in-accounting                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2026-05-01 07:02:00.945233+00
 [WARN] Bachelor of Business — English section detected in HTML but all scores blank                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 2026-05-01 07:02:13.873786+00
 ⚠️ [WARN 75/100] Bachelor of Business — missing: english | bachelor-of-business                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2026-05-01 07:02:13.877605+00
 [WARN] Bachelor of Business (Accounting) — English section detected in HTML but all scores blank                                                                                                                                                                                                                                                                                                                                     :
