  id   |                                     course_name                                     | study_mode |                                            course_location                                             | status  
-------+-------------------------------------------------------------------------------------+------------+--------------------------------------------------------------------------------------------------------+---------
 15626 | Bachelor of Agricultural Science with Honours (S4a)                                 | On Campus  | Hobart                                                                                                 | pending
 15627 | Bachelor of Arts (A3a)                                                              | Blended    | Hobart                                                                                                 | pending
 15644 | Bachelor of Arts and Bachelor of Laws (93A)                                         | Blended    | Hobart                                                                                                 | pending
 15628 | Bachelor of Biomedicine (M3x)                                                       | On Campus  | Hobart, Launceston                                                                                     | pending
 15629 | Bachelor of Business (B3a)                                                          | On Campus  | Hobart, Hong Kong Universal Ed, Shanghai Ocean University Shanghai, Launceston, Melbourne Study Centre | pending
 15645 | Bachelor of Business and Bachelor of Information and Communication Technology (93J) | On Campus  | Hobart                                                                                                 | pending
 15646 | Bachelor of Business and Bachelor of Laws (93L)                                     | On Campus  | Hobart                                                                                                 | pending
 15630 | Bachelor of Design (P3i)                                                            | On Campus  | Hobart                                                                                                 | pending
 15631 | Bachelor of Economics (B3b)                                                         | On Campus  | Hobart                                                                                                 | pending
 15632 | Bachelor of Education (Primary) (43B)                                               | On Campus  | Launceston                                                                                             | pending
 15633 | Bachelor of Fine Arts (13R)                                                         | On Campus  | Hobart, Launceston                                                                                     | pending
 15634 | Bachelor of Geospatial Science (P3r)                                                | On Campus  | Hobart                                                                                                 | pending
 15635 | Bachelor of Global Logistics and Maritime Management (P3e)                          | On Campus  | Launceston                                                                                             | pending
 15636 | Bachelor of Information and Communication Technology (P3t)                          | On Campus  | Hobart, Melbourne Study Centre, Launceston, Ultimo Study Centre                                        | pending
 15637 | Bachelor of Laws (L3c)                                                              | On Campus  | Hobart                                                                                                 | pending
 15638 | Bachelor of Marine and Antarctic Science (P3l)                                      | On Campus  | Hobart                                                                                                 | pending
 15639 | Bachelor of Media and Communication (A3m)                                           | On Campus  | Hobart                                                                                                 | pending
 15625 | Bachelor of Medical Science and Doctor of Medicine (H3x)                            | On Campus  | Hobart, Launceston                                                                                     | pending
 15640 | Bachelor of Music (13O)                                                             | On Campus  | Hobart                                                                                                 | pending
 15641 | Bachelor of Natural Environments and Conservation (P3j)                             | On Campus  | Hobart                                                                                                 | pending
:
