STAGE] skipped Graduate Diploma of Ageing and Pastoral Studies: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Graduate Diploma of Applied Business: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Business Data Analytics: recently rejected (within 7d, rejected 2026-04-23)
[STAGE] skipped Graduate Diploma of Classical Arabic: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Clinical Practice (Paramedicine): recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Critical Care Paramedicine: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Customs Administration: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Dental Implantology: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Financial Crime: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Information Technology: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Intelligence Analysis: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Investigations: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Islamic Studies: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Leadership and Management (Policing and Security): recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Mammography: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Mathematics: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Midwifery: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Organisational Coaching and Leadership: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Pastoral Counselling: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Project Management: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Project Management and Leadership: recently rejected (within 7d, rejected 2026-04-23)
[STAGE] skipped Graduate Diploma of Psychology: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Terrorism and Security Studies: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Theological Studies: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Graduate Diploma of Cyber Security: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Master of Adult and Vocational Education: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Advanced Social Work Practice: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Master of Ageing and Health: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Ageing and Pastoral Studies: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Agricultural Science (with Specialisations): recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Agriculture (with Specialisations): recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Applied Business (with Specialisations): recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Arts (Theological Studies): recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Business Administration (Computing): recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Business Administration (with Specialisations): recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Business Data Analytics: recently rejected (within 7d, rejected 2026-04-23)
[STAGE] skipped Master of Classical Arabic: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Master of Clinical Exercise Physiology: recently rejected (within 7d, rejected 2026-04-27)
[STAGE] skipped Master of Clinical Psychology: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Cloud Computing and Virtualisation: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Communication (with Specialisations): recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Critical Care Paramedicine: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Customs Administration: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Cyber Security: recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Education (Teacher Librarianship): recently rejected (within 7d, rejected 2026-04-26)
[STAGE] skipped Master of Education (with Specialisations): recently rejected (within 7d, rejected 2026-04-27)
[GEMINI] No Gemini PRIMARY calls billed this scrape (key unavailable or budget exhausted)
[TIMING] Total: 3m 39s | Courses: 200 | Avg: 1.1s/course | Concurrency: HTTP=4 Browser=10
══ DONE ══ Found:200 | Staged:0 | Skipped:200 | Errors:0
Staged 0 courses, 200 skipped, 0 fetch errors
