niversity_id |  runtime_job_id  |          started_at           |         completed_at          | imported | skipped 
---------------+------------------+-------------------------------+-------------------------------+----------+---------
             6 | job_64c79db92718 | 2026-05-01 07:13:36.530814+00 | 2026-05-01 07:18:56.347919+00 |       36 |       2
             6 | job_38453ad36663 | 2026-05-01 07:13:31.259472+00 | 2026-05-01 07:13:35.427447+00 |        0 |       0
             6 | job_8a8e3ce3afda | 2026-05-01 07:13:27.8835+00   | 2026-05-01 07:13:30.307064+00 |        0 |       0
             6 | job_d7e864a88276 | 2026-05-01 06:59:04.311935+00 | 2026-05-01 06:59:27.82403+00  |        0 |       0
             2 | job_30344731cd05 | 2026-05-01 06:58:03.2158+00   | 2026-05-01 06:58:40.425378+00 |        9 |       0
             2 | job_13eaf16a4826 | 2026-05-01 06:58:00.662865+00 | 2026-05-01 06:58:02.663444+00 |        0 |       0
             2 | job_163f6273a991 | 2026-05-01 06:53:15.44375+00  | 2026-05-01 06:55:00.938171+00 |        9 |       0
             2 | job_7da7265450b5 | 2026-05-01 01:44:30.671253+00 | 2026-05-01 01:46:17.885417+00 |        9 |       0
             2 | job_277ce540b654 | 2026-05-01 01:44:27.736186+00 | 2026-05-01 01:44:30.053966+00 |        0 |       0
             2 | job_b1697f64fed2 | 2026-04-30 11:33:53.383889+00 | 2026-04-30 11:34:55.224425+00 |        9 |       0
             6 | job_ecf12506a6ae | 2026-04-30 06:20:36.768365+00 | 2026-04-30 07:15:37.452547+00 |        0 |       0
             6 | job_77ea46b95974 | 2026-04-30 06:04:20.023686+00 | 2026-04-30 06:20:36.049382+00 |        0 |       0
             2 | job_2ae69d4f3d2f | 2026-04-30 06:04:02.606909+00 | 2026-04-30 06:05:23.67384+00  |        0 |       0
             2 | job_4982bb2abf68 | 2026-04-30 05:38:53.547555+00 | 2026-04-30 05:39:53.153415+00 |        0 |       0
             2 | job_e68d62dbd9ed | 2026-04-30 05:38:40.220613+00 | 2026-04-30 05:38:51.932692+00 |        0 |       0
             6 | job_e7c0e068a95d | 2026-04-30 05:38:23.947482+00 | 2026-04-30 05:42:44.71632+00  |        0 |       0
             2 | job_c73414aeb7ae | 2026-04-30 05:38:15.4676+00   | 2026-04-30 05:38:32.787811+00 |        0 |       0
             2 | job_d7a729656a34 | 2026-04-30 04:57:11.827027+00 | 2026-04-30 04:57:13.548251+00 |        0 |       0
             2 | job_74b8332fe542 | 2026-04-30 04:42:22.629103+00 | 2026-04-30 04:57:11.228935+00 |        0 |       0
             2 | job_ee5dcee97dcf | 2026-04-30 04:39:44.830444+00 | 2026-04-30 04:41:30.523051+00 |        0 |       0
             2 | job_e3f0a5e6a751 | 2026-04-30 04:39:36.863868+00 | 2026-04-30 04:39:41.909482+00 |        0 |       0
             2 | job_3d6acaaa55b9 | 2026-04-30 00:35:41.954805+00 | 2026-04-30 00:36:32.17619+00  |        9 |       0
             2 | job_4e1986a85224 | 2026-04-30 00:35:35.204953+00 | 2026-04-30 00:35:37.399315+00 |        0 |       0
             6 | job_1c113e6c6b37 | 2026-04-29 14:23:04.006478+00 | 2026-04-29 23:33:30.773593+00 |        0 |       0
             2 | job_ed8cc9588282 | 2026-04-29 14:20:38.588428+00 | 2026-04-29 14:22:14.8334+00   |        9 |       0
             2 | job_90bf300121e4 | 2026-04-29 13:44:56.084979+00 | 2026-04-29 13:47:21.995402+00 |        9 |       0
             2 | job_bcd194df7322 | 2026-04-29 13:43:23.36653+00  | 2026-04-29 13:44:50.489171+00 |        0 |       0
             2 | job_7ba1dd2ffbc0 | 2026-04-29 13:43:12.135968+00 | 2026-04-29 13:43:21.067689+00 |        0 |       0
             2 | job_1f9ccfe6f012 | 2026-04-29 13:43:04.254297+00 | 2026-04-29 13:43:07.445796+00 |        0 |       0
             2 | job_e76052d3e6fa | 2026-04-29 13:42:59.578253+00 | 2026-04-29 13:43:03.639466+00 |        0 |       0
             2 | job_8df478694c95 | 2026-04-29 13:41:03.019006+00 | 2026-04-29 13:42:44.642829+00 |        0 |       0
             2 | job_b0db968fd8ca | 2026-04-29 13:27:15.714544+00 | 2026-04-29 13:29:11.041885+00 |        0 |       0
             2 | job_e69853cf922e | 2026-04-29 13:27:11.190998+00 | 2026-04-29 13:27:15.176469+00 |        0 |       0
             2 | job_7943ef86557c | 2026-04-29 13:26:14.081538+00 | 2026-04-29 13:27:04.007039+00 |        0 |       0
             2 | job_9f9040bd327b | 2026-04-29 13:05:03.884897+00 | 2026-04-29 13:06:42.471716+00 |        0 |       0
             2 | job_1953404da4c8 | 2026-04-29 13:04:57.498616+00 | 2026-04-29 13:05:02.218449+00 |        0 |       0
             2 | job_15546f844ccd | 2026-04-29 13:04:04.99105+00  | 2026-04-29 13:04:39.725845+00 |        0 |       0
             2 | job_d786aaa0caf0 | 2026-04-29 12:59:03.834177+00 | 2026-04-29 13:02:11.425449+00 |        0 |       0
             2 | job_bfefea4b900b | 2026-04-29 11:21:21.390739+00 | 2026-04-29 11:23:15.181932+00 |        9 |       0
             2 | job_9d727d96b9ba | 2026-04-29 11:21:16.661255+00 | 2026-04-29 11:21:19.874287+00 |        0 |       0
             2 | job_a5b76d8d9259 | 2026-04-29 10:40:31.566983+00 | 2026-04-29 10:42:10.097073+00 |        9 |       0
             6 | job_0251f053f264 | 2026-04-29 10:27:48.767418+00 | 2026-04-29 10:32:42.649124+00 |       36 |       2
             2 | job_4294191f49b8 | 2026-04-29 10:27:21.665778+00 | 2026-04-29 10:29:02.285521+00 |        9 |       0
